Name,Genres,Popularity,Followers,Artist_URI
The Last Ten Seconds of Life,"brutal deathcore, deathcore, downtempo deathcore, melodic metalcore, progressive deathcore",32,58010,spotify:artist:3AESf0xMv9HSc3svVqypnY
Before I Turn,"melodic metalcore, metalcore, progressive deathcore, thall",33,30636,spotify:artist:6oAHBPNjkdXwcdt2AgJgan
Æther Realm,"melodic death metal, north carolina metal",36,40588,spotify:artist:0zDqgJmDuaocA7TMvJX1d1
Septicflesh,"death metal, greek metal, melodic death metal, metal, symphonic black metal, symphonic death metal, symphonic metal",40,153770,spotify:artist:5MlEt7qqXqNSReeX76xK6b
Cryptopsy,"black metal, brutal death metal, canadian metal, death metal, quebec death metal, technical death metal, technical deathcore, technical melodic death metal, thrash metal",36,145104,spotify:artist:29PgYwTelpNl6370XLqFtN
Revocation,"boston metal, brutal death metal, death metal, deathgrind, groove metal, melodic death metal, new england metal, technical death metal, technical thrash",35,118610,spotify:artist:4I9kzJ3Ew3qPoN66UPJUl3
Six Feet Under,"death 'n' roll, death metal, florida death metal, groove metal, metal, thrash metal",37,170085,spotify:artist:4pFAF1L1tYnJHLe5hgyKuI
Toxic Holocaust,"black thrash, crossover thrash, death metal, metal, portland metal, speed metal, thrash metal",36,140812,spotify:artist:0WVXlaglIOtQueNbucPjZ0
Bleeding Through,"deathcore, melodic metalcore, metalcore",32,109660,spotify:artist:41btkKEfOGIHsd7WNahMCi
The Haunted,"classic garage rock, gothenburg metal, groove metal, melodic death metal, swedish melodeath, swedish metal",37,138717,spotify:artist:2WLmgv66Uq4vt2i36vwkAq
Bury Your Dead,"deathcore, melodic metalcore, metalcore",32,72346,spotify:artist:2cGTjGiqVo9E2NQIz3lP9D
Celtic Frost,"black metal, black thrash, death metal, deathrash, metal, old school thrash, swiss black metal, swiss metal",36,229223,spotify:artist:4ZISAmHmQUDCpv8xydqeKG
Brujeria,"deathgrind, latin metal, mexican death metal, mexican metal",38,137729,spotify:artist:1VV61UepOgsPiOjljK6mBY
Wintersun,"finnish death metal, finnish melodeath, finnish metal, finnish power metal, finnish progressive metal, folk metal, melodic death metal, metal, power metal, symphonic death metal, symphonic metal, viking metal",39,194142,spotify:artist:6ui6SwChan7c1KYBQCqGKV
Gravemind,"deathcore, melodic metalcore, metalcore, progressive deathcore",33,30282,spotify:artist:2GaM9ww6p0aBZ8omjfINAH
Vader,"black metal, brutal death metal, death metal, deathgrind, deathrash, melodic death metal, metal, polish death metal, polish metal, polish thrash metal, speed metal, technical death metal",39,226964,spotify:artist:2s5DSt9VBNzAn2TbtDHzFZ
Winds of Plague,"blackened deathcore, deathcore, melodic metalcore, metalcore, symphonic deathcore",31,113803,spotify:artist:080xIP1qfuknBNYEYPuH1v
